PK_id_ordini,numeroFattura,valuta,orderNumber,item,soNumber,pos,LavorazioneTitolo,FK_id_cantiere,stato,Scadenza,Extra,annotazioni,extraDalPreventivoBool
1,139/2023,2500.00,4549696128,72515574,,10,Dichiarazione strutture ,2,Pagata,2023-12-30 00:00:00,,,0
2,140/2023,2500.00,4549696120,72515573,,10,Dichiarazione strutture ,2,Pagata,2023-12-30 00:00:00,,,0
3,141/2023,4500.00,4549696125,72515574,,10,Smontaggio ,2,Pagata,2023-12-30 00:00:00,,,0
4,142/2023,16600.00,4549696122,72515574,,10,Opere Edili ,2,Pagata,2023-12-30 00:00:00,,,0
5,143/2023,4500.00,4549696118,72515573,,10,Smontaggio,2,Pagata,2023-12-30 00:00:00,,,0
6,144/2023,16600.00,4549696115,72515573,,10,Opere edili,2,Pagata,2023-12-30 00:00:00,,,0
7,145/2023,2450.00,4549696123,72515574,,10,Fornitura ganci ed imbotti ,2,Pagata,2023-12-30 00:00:00,,,0
8,146/2023,2450.00,4549696117,72515573,,10,Fornitura ganci ed imbotti ,2,Pagata,2023-12-30 00:00:00,,,0
9,71/2024,2500.00,4552187927,72515573,,10,,2,Pagata,,,,1
10,135/2023,2500.00,4549696136,72538728,,10,,5,Pagata,2023-12-30 00:00:00,,,0
11,136/2023,5200.00,4549696134,72538728,,10,,5,Pagata,2023-12-30 00:00:00,,,0
12,137/2023,2950.00,4549696133,72538728,,10,,5,Pagata,2023-12-30 00:00:00,,,0
13,138/2023,21550.00,4549696130,72538728,,10,,5,Pagata,2023-12-30 00:00:00,,,0
14,70/2024,2500.00,4552187928,72515574,,10,,2,Pagata,,,,1
15,106/2023,2500.00,4549696150,72538742,,,,3,Pagata,2023-11-29 00:00:00,,Inizio il Lunedì 16/10/23,0
16,107/2023,5200.00,4549696146,72538742,,,,3,Pagata,2023-11-29 00:00:00,,,0
17,108/2023,2750.00,4549696143,72538742,,,,3,Pagata,2023-11-29 00:00:00,,,0
18,109/2023,19500.00,4549696141,72538742,,,,3,Pagata,2023-11-29 00:00:00,,,0
19,69/2024,2500.00,4552187929,72538742,,,,3,Pagata,,,,0
20,71/2023,1500.00,4548577641,72266100,,10,,4,Pagata,,,,0
21,70/2023,6000.00,4548600874,72266100,,10,,4,Pagata,,,,0
22,69/2023,8500.00,4548604845,72266100,,10,,4,Pagata,,,,0
23,50/2023,19500.00,4545965015,72266100,,20-30,,4,Pagata,,,,0
24,9/E,59500.00,4545966078,72266100,,10,,4,Pagata,,,,0
25,8/E,5000.00,4545965015,72266100,,10,,4,Pagata,,,,0
26,7/E,16000.00,4545966083,72266100,,10,,4,Pagata,,,,0
27,82/2023,12700.00,4549445775,72390475,,,Opere edili,6,Pagata,,,,0
28,81/2023,4200.00,4549327320,72390475,,,Opere accessorie ,6,Pagata,,,,0
29,75/2023,12700.00,4548561285,72390474,,,Opere murarie,6,Pagata,,,,0
30,72/2023,3650.00,4548476454,72390474,,10,Smontaggio,6,Pagata,,,,0
31,7/2024,2000.00,4550821663,72390474,,10,Opere edili ,6,Pagata,2024-03-02 00:00:00,,,0
32,4/2024,7900.00,4550818852,72390474,,,Montaggio,6,Pagata,2024-03-02 00:00:00,,,0
33,5/2024,3800.00,4550821666,72390475,,10,Smontaggio,6,Pagata,2024-03-02 00:00:00,,,0
34,6/2024,7500.00,4550818853,72390475,,10,Montaggio,6,Pagata,2024-03-02 00:00:00,,,0
35,64/2024,2000.00,4551546986,72390475,,10,Opere edili,6,Pagata,,,,0
36,65/2024,4200.00,4548556658,72390474,,,,6,Pagata,,,,0
37,66/2024,400.00,4551543922,72390475,,10,,6,Pagata,,,,0
38,161/2023,1800.00,4550151837,72491109,,10,Opere accessorie,7,Pagata,2024-02-05 00:00:00,,,0
39,160/2023,7500.00,4550418409,72491109,,10,Montaggio ,7,Pagata,2024-02-05 00:00:00,,,0
40,159/2023,12700.00,4550424832,72491109,,10,Opere edili,7,Pagata,2024-02-05 00:00:00,,,0
41,158/2023,4500.00,4550424831,72491109,,10,Smontaggio,7,Pagata,2024-02-05 00:00:00,,,0
42,67/2024,2500.00,4552187926,72491109,,10,,7,Pagata,2024-06-09 00:00:00,,,0
43,68/2024,1250.00,4552218971,72491109,,10,,7,Pagata,2024-06-09 00:00:00,,,0
